setName,gene,Direction
Kim_Secr_Prec,Tpsg1,1
Kim_Secr_Prec,Fkbp9,1
Kim_Secr_Prec,Epb4.2,1
Kim_Secr_Prec,Pcsk1,1
Kim_Secr_Prec,Sytl4,1
Kim_Secr_Prec,Spdef,1
Kim_Secr_Prec,Mmp20,1
Kim_Secr_Prec,Insm1,1
Kim_Secr_Prec,Ramp1,1
Kim_Secr_Prec,Lyz2,1
Kim_Secr_Prec,Clca3,1
Kim_Secr_Prec,Tbc1d8,1
Kim_Secr_Prec,Pdzrn3,1
Kim_Secr_Prec,Hgfac,1
Kim_Secr_Prec,Dll4,1
Kim_Secr_Prec,Bace2,1
Kim_Secr_Prec,Cib2,1
Kim_Secr_Prec,Abhd1,1
Kim_Secr_Prec,Accn5,1
Kim_Secr_Prec,Isl1,1
Kim_Secr_Prec,Rnase4,1
Kim_Secr_Prec,Ghrl,1
Kim_Secr_Prec,C1galt1c1,1
Kim_Secr_Prec,Sdf2l1,1
Kim_Secr_Prec,Slc13a2,1
Kim_Secr_Prec,Myl7,1
Kim_Secr_Prec,Capn9,1
Kim_Secr_Prec,Fkbp11,1
Kim_Secr_Prec,Dnajc10,1
Kim_Secr_Prec,Tmed6,1
Kim_Secr_Prec,Rep15,1
Kim_Secr_Prec,Hmgn3,1
Kim_Secr_Prec,Far1,1
Kim_Secr_Prec,Reg4,1
Kim_Secr_Prec,Bambi,1
Kim_Secr_Prec,1500011H22Rik,1
Kim_Secr_Prec,Zg16,1
Kim_Secr_Prec,Pdia6,1
Kim_Secr_Prec,Pdia5,1
Kim_Secr_Prec,Creb3l4,1
Kim_Secr_Prec,Cck,1
Kim_Secr_Prec,Rab3d,1
Kim_Secr_Prec,Krt7,1
Kim_Secr_Prec,Krt23,1
Kim_Secr_Prec,Selm,1
Kim_Secr_Prec,Sh3bgrl3,1
Kim_Secr_Prec,Bbox1,1
Kim_Secr_Prec,Cxxc5,1
Kim_Secr_Prec,1110003E01Rik,1
Kim_Secr_Prec,Tmem123,1
Kim_Secr_Prec,Rab15,1
Kim_Secr_Prec,Kdelr3,1
Kim_Secr_Prec,Txndc5,1
Kim_Secr_Prec,Scgn,1
Kim_Secr_Prec,Lrrc26,1
Kim_Secr_Prec,Dusp18,1
Kim_Secr_Prec,Hepacam2,1
Kim_Secr_Prec,Tmem199,1
Kim_Ent_Prec,Ckap2,1
Kim_Ent_Prec,E2f8,1
Kim_Ent_Prec,Utp18,1
Kim_Ent_Prec,Orc2,1
Kim_Ent_Prec,Pus1,1
Kim_Ent_Prec,Vrk1,1
Kim_Ent_Prec,Golm1,1
Kim_Ent_Prec,Xpo1,1
Kim_Ent_Prec,Tcerg1,1
Kim_Ent_Prec,Tacc3,1
Kim_Ent_Prec,Blm,1
Kim_Ent_Prec,Rpf2,1
Kim_Ent_Prec,Hnrnpd,1
Kim_Ent_Prec,Srsf1,1
Kim_Ent_Prec,Tmpo,1
Kim_Ent_Prec,Pprc1,1
Kim_Ent_Prec,Cenpf,1
Kim_Ent_Prec,Mdn1,1
Kim_Ent_Prec,Nasp,1
Kim_Ent_Prec,Dtymk,1
Kim_Ent_Prec,Eftud2,1
Kim_Ent_Prec,Wdr36,1
Kim_Ent_Prec,Nxt1,1
Kim_Ent_Prec,Ngfrap1,1
Kim_Ent_Prec,Ttk,1
Kim_Ent_Prec,Canx,1
Kim_Ent_Prec,Bub1,1
Kim_Ent_Prec,Nudcd1,1
Kim_Ent_Prec,Serbp1,1
Kim_Ent_Prec,Nde1,1
Kim_Ent_Prec,Faim,1
Kim_Ent_Prec,Qser1,1
Kim_Ent_Prec,Rbm43,1
Kim_Ent_Prec,Tiam1,1
Kim_Ent_Prec,Nap1l1,1
Kim_Ent_Prec,Gjb3,1
Kim_Ent_Prec,Zfp275,1
Kim_Ent_Prec,Nol11,1
Kim_Ent_Prec,Cbfb,1
Kim_Ent_Prec,Myef2,1
Kim_Ent_Prec,Fignl1,1
Kim_Ent_Prec,Spata5,1
Kim_Ent_Prec,Naf1,1
Kim_Ent_Prec,Tia1,1
Kim_Ent_Prec,Rpa1,1
Kim_Ent_Prec,Cep55,1
Kim_Ent_Prec,Nip7,1
Kim_Ent_Prec,Exosc1,1
Kim_Ent_Prec,Mpp6,1
Kim_Ent_Prec,Kif20a,1
Kim_Ent_Prec,Eif5a,1
Kim_Ent_Prec,Aimp2,1
Kim_Ent_Prec,Myc,1
Kim_Ent_Prec,0610010K14Rik,1
Kim_Ent_Prec,Ect2,1
Kim_Ent_Prec,Dbf4,1
Kim_Ent_Prec,Rcc1,1
Kim_Ent_Prec,Spc25,1
Kim_Ent_Prec,Acly,1
Kim_Ent_Prec,Lsm2,1
Kim_Ent_Prec,Prmt1,1
Kim_Ent_Prec,Fut8,1
Kim_Ent_Prec,Smn1,1
Kim_Ent_Prec,Parp1,1
Kim_Ent_Prec,Ccnd1,1
Kim_Ent_Prec,Ccne1,1
Kim_Ent_Prec,Ccnf,1
Kim_Ent_Prec,Cd9,1
Kim_Ent_Prec,Cdk1,1
Kim_Ent_Prec,Chek1,1
Kim_Ent_Prec,Fen1,1
Kim_Ent_Prec,Smc2,1
Kim_Ent_Prec,Thumpd3,1
Kim_Ent_Prec,Hdac2,1
Kim_Ent_Prec,Hells,1
Kim_Ent_Prec,Hiat1,1
Kim_Ent_Prec,Hspe1,1
Kim_Ent_Prec,Eif3e,1
Kim_Ent_Prec,Kif4,1
Kim_Ent_Prec,Mcm3,1
Kim_Ent_Prec,Mcm4,1
Kim_Ent_Prec,Mcm5,1
Kim_Ent_Prec,Mcm6,1
Kim_Ent_Prec,Mcm7,1
Kim_Ent_Prec,Abcc1,1
Kim_Ent_Prec,Mns1,1
Kim_Ent_Prec,Nme1,1
Kim_Ent_Prec,Pabpc1,1
Kim_Ent_Prec,Pdcd2,1
Kim_Ent_Prec,Pola1,1
Kim_Ent_Prec,Prim2,1
Kim_Ent_Prec,Psmc3ip,1
Kim_Ent_Prec,Pter,1
Kim_Ent_Prec,Rbbp7,1
Kim_Ent_Prec,Rps5,1
Kim_Ent_Prec,Rrm1,1
Kim_Ent_Prec,Rrm2,1
Kim_Ent_Prec,Snrpd1,1
Kim_Ent_Prec,Srm,1
Kim_Ent_Prec,Tfdp1,1
Kim_Ent_Prec,Xrcc5,1
Kim_Ent_Prec,Brca1,1
Kim_Ent_Prec,Bub1b,1
Kim_Ent_Prec,Pdia4,1
Kim_Ent_Prec,Ccna2,1
Kim_Ent_Prec,Cct3,1
Kim_Ent_Prec,Cct6a,1
Kim_Ent_Prec,Cct8,1
Kim_Ent_Prec,Cdc7,1
Kim_Ent_Prec,Gart,1
Kim_Ent_Prec,Nedd4,1
Kim_Ent_Prec,Notch2,1
Kim_Ent_Prec,Orc1,1
Kim_Ent_Prec,Pfdn2,1
Kim_Ent_Prec,Plk1,1
Kim_Ent_Prec,Pole2,1
Kim_Ent_Prec,Rad51,1
Kim_Ent_Prec,Ranbp1,1
Kim_Ent_Prec,C80913,1
Kim_Ent_Prec,Ruvbl2,1
Kim_Ent_Prec,Shcbp1,1
Kim_Ent_Prec,Aurkb,1
Kim_Ent_Prec,Aurka,1
Kim_Ent_Prec,Suv39h1,1
Kim_Ent_Prec,Tfpi,1
Kim_Ent_Prec,Wbp5,1
Kim_Ent_Prec,Farsb,1
Kim_Ent_Prec,Whsc2,1
Kim_Ent_Prec,Exo1,1
Kim_Ent_Prec,Asns,1
Kim_Ent_Prec,Emg1,1
Kim_Ent_Prec,Tcp1,1
Kim_Ent_Prec,Hk2,1
Kim_Ent_Prec,Abce1,1
Kim_Ent_Prec,Ctps,1
Kim_Ent_Prec,H2afz,1
Kim_Ent_Prec,Hnrnpu,1
Kim_Ent_Prec,Hnrnpa2b1,1
Kim_Ent_Prec,Atxn10,1
Kim_Ent_Prec,Bysl,1
Kim_Ent_Prec,Cks1b,1
Kim_Ent_Prec,Zranb2,1
Kim_Ent_Prec,Ddx20,1
Kim_Ent_Prec,Mre11a,1
Kim_Ent_Prec,Eif3d,1
